model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
Patient DP (sigma=0.05),3407,CGGA_external_val,0.8292682926829268,0.9531461303099602,0.86,0.9135802469135802,0.9024390243902439,0.6666666666666666,0.11906052534115147,0.14086677333674683
Client DP (sigma=0.05),3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0006543061788408459,0.010877424033113297
Client DP (sigma=0.05),3407,UPenn_external_test,0.7622549019607843,0.9683877054838084,0.8070175438596491,0.8865979381443299,0.8431372549019608,0.5,0.17211033099385367,0.18531832581914978
Client DP (sigma=0.05),3407,CGGA_external_val,0.8238482384823849,0.9492371924638605,0.84,0.9024390243902439,0.9024390243902439,0.5555555555555556,0.11821325173891058,0.1109258776715468
Patient DP (sigma=0.10),3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0006543061788408459,0.010877424033113297
Patient DP (sigma=0.10),3407,UPenn_external_test,0.7622549019607843,0.9683877054838084,0.8070175438596491,0.8865979381443299,0.8431372549019608,0.5,0.17211033099385367,0.18531832581914978
Patient DP (sigma=0.10),3407,CGGA_external_val,0.8238482384823849,0.9492371924638605,0.84,0.9024390243902439,0.9024390243902439,0.5555555555555556,0.11821325173891058,0.1109258776715468
Client DP (sigma=0.10),3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0005084549043631832,0.010258122920579349
Client DP (sigma=0.10),3407,UPenn_external_test,0.7450980392156863,0.9627573606982032,0.7719298245614035,0.8631578947368421,0.803921568627451,0.5,0.18451382052378099,0.2112586546094347
Client DP (sigma=0.10),3407,CGGA_external_val,0.8075880758807588,0.9395793591844769,0.84,0.8974358974358975,0.8536585365853658,0.7777777777777778,0.14048921420541827,0.15583985770401135
Patient DP (sigma=0.20),3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0005084549043631832,0.010258122920579349
Patient DP (sigma=0.20),3407,UPenn_external_test,0.7450980392156863,0.9627573606982032,0.7719298245614035,0.8631578947368421,0.803921568627451,0.5,0.18451382052378099,0.2112586546094347
Patient DP (sigma=0.20),3407,CGGA_external_val,0.8075880758807588,0.9395793591844769,0.84,0.8974358974358975,0.8536585365853658,0.7777777777777778,0.14048921420541827,0.15583985770401135
Client DP (sigma=0.20),3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0025704611124961764,0.019822415240929807
Client DP (sigma=0.20),3407,UPenn_external_test,0.7205882352941176,0.9577395044767206,0.8070175438596491,0.8877551020408163,0.8529411764705882,0.4166666666666667,0.16349921815400842,0.16087081458032346
Client DP (sigma=0.20),3407,CGGA_external_val,0.7452574525745258,0.9231459095484289,0.8,0.8780487804878049,0.8780487804878049,0.4444444444444444,0.1515088769014751,0.13980519565390323
Centralized LR,9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.017253873478920243,0.08018668719031027
Centralized LR,9999,UPenn_external_test,0.7687908496732027,0.969094931599801,0.7894736842105263,0.8762886597938144,0.8333333333333334,0.4166666666666667,0.16206710199918095,0.1708517377495353
Centralized LR,9999,CGGA_external_val,0.8699186991869918,0.9693454744429928,0.86,0.9156626506024096,0.926829268292683,0.5555555555555556,0.1046430392734641,0.10801288971807686
Centralized RF,9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.021752857597698027,0.11616672152620602
Centralized RF,9999,UPenn_external_test,0.7279411764705883,0.9618219555231975,0.7807017543859649,0.8717948717948718,0.8333333333333334,0.3333333333333333,0.14815662219726533,0.17796453678259228
Centralized RF,9999,CGGA_external_val,0.8563685636856369,0.9675764162060743,0.84,0.9047619047619048,0.926829268292683,0.4444444444444444,0.11612311623240056,0.1152716472780476
Centralized XGBoost,9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.013038970701083188,0.07970120102653036
Centralized XGBoost,9999,UPenn_external_test,0.7344771241830065,0.9594271633324809,0.8245614035087719,0.9,0.8823529411764706,0.3333333333333333,0.14205330446299994,0.1327061144994539
Centralized XGBoost,9999,CGGA_external_val,0.8563685636856369,0.9683804930324915,0.8,0.8809523809523809,0.9024390243902439,0.3333333333333333,0.12079552202289456,0.0794565441273153
Centralized MLP,9999,TCGA_test,0.9985822306238186,0.999645529735017,0.9652173913043478,0.978021978021978,0.967391304347826,0.9565217391304348,0.024183343684594544,0.0588924803713246
Centralized MLP,9999,UPenn_external_test,0.6405228758169935,0.9439907726954054,0.7894736842105263,0.8762886597938144,0.8333333333333334,0.4166666666666667,0.18127430251666382,0.19990058602247557
Centralized MLP,9999,CGGA_external_val,0.7777777777777778,0.924037028226365,0.88,0.9285714285714286,0.9512195121951219,0.5555555555555556,0.1091777051984136,0.08190957905006702
FedAvg MLP,9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.00041638060171743477,0.008489466948077997
FedAvg MLP,9999,UPenn_external_test,0.7165032679738562,0.9596429424422815,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.17322448302508506,0.1707795548316445
FedAvg MLP,9999,CGGA_external_val,0.8292682926829268,0.9547920741196145,0.84,0.9047619047619048,0.926829268292683,0.4444444444444444,0.1311740653020273,0.15453101174507136
FedProx MLP (mu=0.01),9999,TCGA_test,1.0,1.0,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.00731053902749462,0.027229197211373374
FedProx MLP (mu=0.01),9999,UPenn_external_test,0.7181372549019608,0.9592873465529049,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.1672883648183017,0.1488614388093186
FedProx MLP (mu=0.01),9999,CGGA_external_val,0.8211382113821138,0.9495633716342868,0.86,0.9176470588235294,0.9512195121951219,0.4444444444444444,0.11180513129406043,0.1417967244377934
Patient DP (sigma=0.05),9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.00014987536117093783,0.006665884390959729
Patient DP (sigma=0.05),9999,UPenn_external_test,0.7066993464052288,0.9575513271037548,0.8070175438596491,0.8888888888888888,0.8627450980392157,0.3333333333333333,0.16469275805646463,0.17460300313138974
Patient DP (sigma=0.05),9999,CGGA_external_val,0.8401084010840109,0.9643959034423558,0.86,0.9176470588235294,0.9512195121951219,0.4444444444444444,0.13462301255295084,0.151550609181801
Client DP (sigma=0.05),9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0003924674221372141,0.008061600929646083
